   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4282   43.327    0.010   43.327    0.010 {built-in method time.sleep}
 14682272   10.467    0.000   10.467    0.000 /home/tytus/.local/lib/python3.10/site-packages/geographiclib/geomath.py:63(polyval)
   196111    5.545    0.000   38.770    0.000 /home/tytus/.local/lib/python3.10/site-packages/geographiclib/geodesic.py:701(_GenInverse)
   271415    5.075    0.000    9.055    0.000 /usr/lib/python3.10/_strptime.py:309(_strptime)
   196112    3.925    0.000    6.840    0.000 /home/tytus/.local/lib/python3.10/site-packages/geographiclib/geodesic.py:367(_C4coeff)
   196112    3.677    0.000    6.155    0.000 /home/tytus/.local/lib/python3.10/site-packages/geographiclib/geodesic.py:340(_C3coeff)
  1408696    3.509    0.000    3.742    0.000 /home/tytus/.local/lib/python3.10/site-packages/geographiclib/geodesic.py:122(_SinCosSeries)
   448109    3.283    0.000   14.746    0.000 /home/tytus/.local/lib/python3.10/site-packages/geographiclib/geodesic.py:430(_Lengths)
   252522    3.246    0.000   19.024    0.000 /home/tytus/.local/lib/python3.10/site-packages/geographiclib/geodesic.py:624(_Lambda12)
   196112    3.109    0.000   19.837    0.000 /home/tytus/.local/lib/python3.10/site-packages/geographiclib/geodesic.py:275(__init__)
